Fecha,Temp_Max,Temp_Min
1963-12-01,17,9
1963-12-02,16.6,8.2
1963-12-03,16.8,8.7
1963-12-04,17.2,8.2
1963-12-05,17,9
1963-12-06,17.4,9.2
1963-12-07,18,9.8
1963-12-08,18.4,9.2
1963-12-09,18,9.6
1963-12-10,17.6,9.6
1963-12-11,18.2,8.4
1963-12-12,18.4,8.2
1963-12-13,17.6,9.2
1963-12-14,17.2,8.4
1963-12-15,16.8,8.8
1963-12-16,16.6,8.9
1963-12-17,17.4,9
1963-12-18,18,9.8
1963-12-19,17.6,9.6
1963-12-20,17.8,9.8
1963-12-21,18,9.2
1963-12-22,17.2,8.8
1963-12-23,17.6,9.4
1963-12-24,18,9.6
1963-12-25,18.4,9.8
1963-12-26,17.2,9.6
1963-12-27,17.4,9.6
1963-12-28,17.4,9
1963-12-29,17.8,8.6
1963-12-30,17.4,8.4
1963-12-31,16.6,8.4
1964-01-01,17.4,8.6
1964-01-02,16.6,9
1964-01-03,16.2,9.6
1964-01-04,17.4,8.8
1964-01-05,17.6,8.8
1964-01-06,17.8,8.8
1964-01-07,17.6,8.6
1964-01-08,17.6,8.8
1964-01-09,17.8,9.2
1964-01-10,18.2,9.2
1964-01-11,18.4,9.2
1964-01-12,17.4,8.8
1964-01-13,17.2,9
1964-01-14,17,8.6
1964-01-15,17.2,8.6
1964-01-16,17,8.8
1964-01-17,16.8,8.8
1964-01-18,16.8,8.8
1964-01-19,16.6,8